Case Name,ID,Permalink,Summary,Case Categories,Jurisdictions,Principal Laws,Status,Reporter Info,Filing Year for Action,Core Object
Aldous v. Greater Taree City Council and Another,2204,https://climatecasechart.com/non-us-case/aldous-v-greater-taree-city-council-and-another/,"An Australian court upheld approval of a development application by a city council for a dwelling on a beachfront property. Applicant land owner argued, inter alia, that the Council had failed to take into account the principles of ecologically sustainable development (ESD), specifically the principles of intergenerational equity and the precautionary principles by failing to assess climate change induced coastal erosion. The Council was in the process of conducting a coastal impact study, but made its decision prior to the completion of the study. The court concluded that the Council had a mandatory obligation under the Environmental Planning and Assessment Act 1979 to take into consideration the public interest, which included the principles of ESD, but in the present case, the defendant had considered the issue of coastal erosion.",Suits against governments>Environmental assessment and permitting>Climate adaptation,Australia>New South Wales>Land and Environment Court,Australia,,Land and Environment Court of New South Wales [2009] NCWELC 17 (Australia),2009,
Ground Crew at Turramurra v. Ku-ring-gai Council,2504,https://climatecasechart.com/non-us-case/ground-crew-at-turramurra-v-ku-ring-gai-council/,"Applicant appealed the denial of a permit for a residential development due to risk of fire. In denying the permit, the local council cited climate change as one of the five issues contributing to the risk of fire. In dismissing the appeal, the court reported that it did not weigh increased risks of fire due to climate change heavily.",Suits against governments>Environmental assessment and permitting>Climate adaptation,Australia>New South Wales>Land and Environment Court,Australia>Environmental Planning and Assessment Act 1979 (NSW),Appeal dismissed,[2008] NSWLEC 86 (Australia),2008,Appeal of denial of a planning permit due to risk of fire
Haughton v. Minister for Department of Planning and Others,2505,https://climatecasechart.com/non-us-case/haughton-v-minister-for-department-of-planning-and-ors/,"Ned Haughton challenged the approval granted by the Minister for Planning for two coal-fired power plants.  The challenge was on the grounds that: (1) the Minister erroneously approved the plants on the basis that they were critical infrastructure projects; (2) the Minister had not fully considered the principles of ecologically sustainable development; and (3) the Minister had not considered the impact of the projects on climate change, which was required of him based on his duty to protect the public interest.  While the Court upheld the standing of Mr. Haughton to bring the case, it dismissed his substantive claims on the basis that the decisions had been made within the power given to the Minister under Part 3A of the Environmental Planning and Assessment  Act 1979 (NSW).  Justice Craig emphasized that he could not review the merits of the Minister’s decision, and could only consider its legality.  He concluded that the statute allowed the Minister to weigh competing considerations as he saw fit when determining what was in the public interest.",Suits against governments>Environmental assessment and permitting>Utilities,Australia>New South Wales>Land and Environment Court,Australia>Precautionary Principle|Australia>Principle of Intergenerational Equity,Application dismissed,[2011] NSWLEC 217 (Australia),2011,Challenge to government approval of two coal-fired power plants
Able Lott Holdings Pty. Ltd. v. City of Fremantle,2508,https://climatecasechart.com/non-us-case/able-lott-holdings-pty-ltd-v-city-of-freemantle/,"This case concerned a development application for retrospective approval of partially completed alterations and additions to an historic warehouse building. One of the principal issues related to potential flooding and the decision is the first to apply the State Coastal Planning Policy anticipating a 0.38 meter increase in sea level due to climate change. The Tribunal determined that the development application warranted conditional approval. With respect to potential flooding, the Tribunal found that the level of the water table over the lifetime of the development, including anticipated increase in the water table due to sea level rise by 2100, would not compromise the structural stability of the building or cause water ingress. Thus, the proposal did not warrant refusal because of potential for flooding. The development application was approved subject to 40 conditions including conditions to ensure that the development is carried out in a manner that is appropriate having regard to heritage and amenity considerations. ",Suits against governments>Environmental assessment and permitting>Climate adaptation,Australia>Western Australia>State Administrative Tribunal,Australia>State Coastal Planning Policy (Western Australia),Application dismissed,[2010] WASAT 117 (Australia),2010,Challenge to approve development of site despite potential flooding
Aldous v. Greater Taree City Council and Another,2510,https://climatecasechart.com/non-us-case/aldous-v-greater-taree-city-council-and-another-2/," An Australian court upheld approval of a development application by a city council for a dwelling on a beachfront property.  Applicant land owner argued, inter alia, that the Council had failed to take into account the principles of ecologically sustainable development (ESD), specifically the principles of intergenerational equity and the precautionary principles by failing to assess climate change induced coastal erosion.  The Council was in the process of conducting a coastal impact study, but made its decision prior to the completion of the study.  The court concluded that the Council had a mandatory obligation under the Environmental Planning and Assessment Act 1979 to take into consideration the public interest, which included the principles of ESD, but in the present case, the defendant had considered the issue of coastal erosion.",,Australia>New South Wales>Land and Environment Court,Australia,Application dismissed,[ 2009 ] NCWELC 17 (Australia),2009,Challenge to city council decision granting development on beachfront property
Anvil Hill Project Watch Association v. Minister for the Environment and Water Resources,2512,https://climatecasechart.com/non-us-case/anvil-hill-project-watch-association-v-minister-for-the-environment-and-water-resources/,"Under section 75(1) of the Environmental Protection and Biodiversity Conservation Act, the Commonwealth Minister is to assess if a proposed action is a “controlled action.”  The Anvil Hill Project Watch Association challenged the decision by the Minister that the proposed construction of an open coal mine was not a “controlled action.”  The court ruled that section 75(1) did not require an objective factual determination by the Minister of whether an action is considered a “controlled action” or not.",Suits against governments>Environmental assessment and permitting>Natural resource extraction,Australia>Federal Court of Australia,Australia>Environmental Protection and Biodiversity Conservation Act 1999 (Federal),Dismissed,[2006 ] 152 LGERA  258 (Australia),2008,Challenge to government approval of an of an open coal mine 
Australian Competition and Consumer Commission v. De Longhi Australia Pty. Ltd.,2514,https://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-de-longhi-australia-pty-ltd/,The Australian Competition and Consumer Commission challenged De Longhi Australia Pty Ltd for falsely claiming that the refrigerant gas R290 used in its portable air conditioners was “environmentally friendly.”  De Longhi provided a court-enforceable undertaking that it would modify its advertising to avoid unqualified claims.,"Suits against corporations, individuals>Corporations",Australia>Federal Court of Australia,Australia>Trade Practices Act 1974 (Federal) (known as Competition and Consumer Act 2010 since 2011),Granted,,2008,Challenge to corporation for false green advertising 
Australian Competition and Consumer Commission v. Global Green Plan Ltd.,2515,https://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-global-green-plan-ltd/,"Global Green Plan Ltd. was paid by customers to purchase renewable energy certificates (RECs).  In December 2009, Global Green Plan acknowledged that it had not been using the money provided to it to purchase RECs, and pledged that it would make up the 4,137 missing RECs by March 2010.  When it failed to do so, the Australian Competition and Consumer Commission instituted proceedings in the Federal Court.  On September 29, 2010, the Federal Court declared that Global Green Plan had failed to meet its pledge and that it had breached the Trade Practices Act 1974.","Suits against corporations, individuals>Corporations",Australia>Federal Court of Australia,Australia>Trade Practices Act 1974 (Federal) (known as Competition and Consumer Act 2010 since 2011),Granted,[2010] FCA 1057,2010,Suit against corporation for misusing funds appropriated for renewable energy investment 
Australian Competition and Consumer Commission v. GM Holden Ltd.,2517,https://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-gm-holden-ltd/,"The Australian Competition and Consumer Commission (ACCC) filed a suit against GM Holden Ltd for wrongly advertising that Saab vehicles provided “carbon neutral motoring.”  GM Holden had claimed that Saab would plant 17 native trees for every Saab vehicle purchased to offset the carbon emissions.  ACCC filed its claim on the basis that GM Holden had not shown any change in the way it manufactured Saab vehicles subsequent to its carbon neutral campaign and that GM Holden’s claim that 17 native trees would offset the carbon emissions was not proven and was misleading.  The Federal Court declared that GM Holden had breached sections 52 and 53(c) of the Trade Practices Act 1974.  GM Holden agreed to advise its marketing staff to avoid “misleading and deceptive” marketing tactics and to plant 12,500 native trees to offset all the carbon emissions that would occur by Saab vehicles sold during the marketing campaign. ","Suits against corporations, individuals>Corporations",Australia>Federal Court of Australia,Australia>Trade Practices Act 1974 (Federal) (known as Competition and Consumer Act 2010 since 2011),Granted,[2008] FCA 1428,2008,Suit against corporation for false green advertising 
Australian Competition and Consumer Commission v. Goodyear Tyres,2519,https://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-goodyear-tyres/,"The Australian Competition and Consumer Commission (ACCC) challenged Goodyear Tyres for falsely labeling its LS200 tyres as “environmentally-friendly” because its production process emitted less carbon dioxide and its new BioTRED technology increased the life of the tyre and improved fuel economy.  ACCC charged that Goodyear Tyres was misleading consumers about the environmental benefits of its tyres, breaching sections 52 and 53(c) of the Trade Practices Act 1974.  Goodyear Tyres gave a court-enforceable undertaking that it would halt its false advertising and partially compensate all customers who had relied on it during 2007 and 2008.","Suits against corporations, individuals>Corporations",Australia>Federal Court of Australia,Australia>Trade Practices Act 1974 (Federal) (known as Competition and Consumer Act 2010 since 2011),Granted,,2008,Challenge to corporation for false green advertising 
